word,value
career,7.254191334326363
memphis,23.504422209883607
depay,52.93442548569376
moved,0.45458539043097645
fee,2.4362834231568034
dutch,13.318523445855808
winger,16.183378477671077
wanted,0.02492809289089453
hoping,0.13881902881424915
get,0.25631192946791553
lyon,74.53407382667092
thanks,0.0
reading,0.16912272762842273
let,0.04090763961582692
me,0.0
what,0.0
your,0.0
thoughts,0.20727768391370238
were,0.14445510239338882
transfers,9.146945623413329
please,0.0
drop,0.28094209801838405
like,0.0
follow,0.13828442099317784
its,0.0
much,0.0
appreciated,0.5475917731926901
check,0.04090763961582692
my,0.0
posts,1.2752896602704178
bunch,0.09227837177466558
galatasaray,28.299502640153968
's,0.0
podolski,29.746474981055297
japan,2.2426075258520983
june,1.6993152146212955
watching,1.0675388323198491
brazil,67.54384000692285
hurting,2.1978350219981624
or,0.0
another,0.0
sports,26.415032156421066
're,0.13231064688244018
around,0.0
yellow,4.656486300878899
cards,3.7958167554285533
earned,2.780944426129481
either,0.07928389827217508
damage,0.5214805980101981
acting,0.7071774663048647
potentially,0.5606406415438624
trying,0.0
fly,0.583373714273683
kick,8.603123685240572
ball,17.82279762565855
nearly,0.1274152554998348
when,0.0
ground,0.596940391925739
getting,0.047938640174797174
someone,0.0
face,0.1703493086552804
etc,0.2765688419863557
whether,0.12812327850638086
done,0.03259827531886208
which,0.0
usually,0.019814637938916163
free,0.13678491996542128
down,0.0
pitch,19.121929208482687
given,0.19200016384025098
seriously,0.14345204939392034
starting,0.22279156715567539
fights,16.676499107098596
gets,0.09335039635272227
sent,0.43067039846018057
rest,0.02748482036688371
suspended,3.863404247508442
few,0.08053691549365925
hurt,0.19140906598230248
penalty,58.92741477719174
where,0.0
single,0.058861196552893125
take,0.07094918745869981
clear,0.064000054613417
shot,0.250242066932685
goalie,19.364709743077125
defending,5.689395487897571
most,0.0
once,0.028763184104878305
card,2.0828678930091504
n't,0.0
allowed,0.3701387212744685
position,1.5371477845765869
10,0.0
vs,38.74478575085406
11,1.2517956799851573
played,7.3090062180513735
really,0.18024928705723736
important,0.1793725899089332
role,1.9951062304358942
formation,7.3185222822070415
such,0.0
then,0.14765101173837528
question,0.0888462797906241
diving,13.496382948240859
penalties,28.388510497193174
note,0.044828765435600104
many,0.0
doing,0.0
those,0.0
i,0.0
'm,0.0
sort,0.03837545149244829
correct,0.11538501049654235
anything,0.0
wrong,0.0
lionel,495.91226541314717
messi,1208.3867590256177
hull,102.56676178529223
highlights,131.89993002375843
supporters,18.23723730897471
pay,0.07483213041027417
manager,28.180967615548955
£,28.565055232266513
fa,131.24297320503047
fine,0.014701182986937799
highest,3.014097523747362
paid,1.3312857862621454
richest,12.574947689500245
still,0.0
insane,1.7382553214793484
though,0.0
prediksi,2272.087000645955
score,22.05087120489178
watford,140.29901936009506
februari,409.2975368083968
does,0.2473633833019534
giovinco,27.134566553508222
deserve,2.5561840910434
call,0.0
italy,26.75057257906903
squad,25.404479061872028
hilarious,1.2435409864663844
french,5.466327137576797
5th,2.143959806237625
division,12.95088686443253
funny,1.6444269829818123
defence,10.69731452410496
cup,76.79183499514566
hot,0.2936310854286171
snapchat,4.175099877077787
footballers,252.41398174827714
nice,0.040268457746829626
try,0.0
al,3.267039064187502
–,46.58915337616506
0,17.577608121934105
premier,326.49261226195944
match,21.24263592613973
preview,158.22845313988367
eibar,114.0281540940453
betis,136.4325122694656
recorded,2.4502792981406265
win,4.838300328756274
soon,0.01917545606991887
coach,42.73876326199816
took,0.014701182986937799
over,0.0
story,0.21517807409088052
about,0.0
tom,7.634438186725679
brady,22.688501811620363
jersey,14.642442817546858
athletic,42.81551563716783
power,0.07174903596357328
worst,0.8808932562858514
football,734.2901878786635
all,0.0
disagree,0.8850460146388875
we,0.0
talking,0.05754476487496578
rule,0.974111550923521
rooney,221.38722833277922
surely,1.7787311527427436
